id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,8.44404e-13,5.48773e-29,4.45671e-14,0.00277138,1.83899e-11,4.20359e-15,4.76114e-20,1.59996e-08,6.20954e-15,0.0,0.143545,0.0,2.9978e-14,2.35969e-30,0.0,1.19588e-28,6.00897e-11,2.15797e-18,1.36732e-23,3.06039e-37,4.50038e-22,2.26143e-16,3.70318e-12,2.46317e-14,4.51608e-10,7.52896e-21,3.9261e-05,8.44448e-15,2.0429e-08,1.0309e-17,4.79068e-11,2.95352e-06,9.89901e-14,1.29122e-23,1.50336e-10,9.73263e-24,3.45017e-13,1.31169e-25,3.85915e-15,6.9089e-15,1.51693e-22,0.0,1.69453e-15,0.00128317,1.33213e-14,5.89063e-25,0.00889281,0.0,0.0,5.39243e-16,3.56079e-09,0.498178,1.78921e-06,5.27278e-08,0.0190788,6.78784e-10,3.66676e-08,5.00846e-17,8.47013e-11,3.7794e-19,5.5716e-11,6.73814e-20,5.41692e-07,1.12703e-23,0.296894,0.000836419,1.25835e-15,8.77692e-22,0.000619955,0.000164077,2.79606e-08,2.30718e-11,7.50711e-27,1.70498e-10,9.59558e-06,3.83232e-08,2.24859e-12,1.18175e-10,2.33458e-18,5.93448e-11,2.73311e-15,2.51093e-05,4.74636e-17,1.73233e-07,3.51171e-15,2.19761e-08,8.57726e-06,1.84887e-10,3.92284e-23,2.45634e-31,4.28452e-05,2.0304e-31,0.00914372,1.88325e-17,2.92661e-12,0.0,0.0184617,2.57615e-13,2.03947e-23
7,0.0,0.0,1.28014e-24,6.65778e-11,0.0,1.3961e-18,0.000629601,6.18703e-11,3.27686e-15,0.0,2.01961e-14,0.0,7.57734e-15,1.33271e-19,0.0,1.33231e-14,7.15674e-32,1.0552e-08,0.0,2.60895e-33,0.0,0.0,0.00097405,0.0,8.03215e-35,0.0,4.07496e-14,2.40709e-33,2.61993e-11,2.00718e-12,3.47494e-17,8.45583e-09,3.24566e-15,4.68544e-14,3.53707e-19,0.0,0.000406876,0.0,1.55264e-37,4.27148e-33,7.18196e-25,0.0,1.3205e-20,8.50814e-11,3.46212e-13,2.5693e-06,0.00128474,0.0,0.0,8.03451e-34,0.554918,5.93144e-07,0.342591,0.0332103,4.21958e-23,0.0312421,4.0636e-09,9.40236e-08,1.77264e-06,1.01329e-07,2.75698e-16,0.0,2.39176e-17,6.09859e-20,7.02065e-15,3.16523e-27,1.74753e-15,2.1886e-16,7.42967e-16,3.257e-07,1.55905e-10,1.34479e-07,1.41083e-27,4.39862e-20,6.61525e-29,0.0,5.08992e-31,6.91604e-08,3.4836e-08,4.52474e-05,0.00651519,3.61226e-06,4.5944e-10,0.0281101,2.01437e-13,7.87772e-36,6.39846e-05,2.8938e-09,3.08585e-36,0.0,4.97927e-29,0.0,7.79366e-10,1.11031e-17,1.12929e-09,0.0,1.45831e-08,0.0,6.88235e-34
9,1.17867e-07,0.957649,1.55448e-24,3.05181e-08,3.56748e-12,1.96975e-32,2.9232e-33,1.55572e-17,1.14877e-16,2.10159e-09,4.01349e-12,1.65648e-28,1.58623e-11,7.94428e-29,9.60695e-34,3.55658e-37,1.19412e-15,4.866e-34,6.0115e-38,3.65614e-12,0.000275847,1.36304e-19,1.74635e-27,4.36775e-05,3.89349e-16,7.62249e-18,4.04888e-09,1.77061e-33,7.49494e-22,7.83798e-18,1.89023e-21,2.71497e-15,1.91475e-11,3.35952e-24,4.78762e-21,3.29144e-36,4.03448e-21,2.50735e-09,0.000646579,1.37235e-14,3.09841e-25,0.000132407,1.94796e-33,2.76496e-20,1.03376e-36,9.50978e-33,1.98733e-15,1.62368e-18,6.31539e-18,5.41846e-30,2.96628e-24,2.4996e-13,4.98363e-21,9.84187e-19,9.24148e-13,3.62368e-17,2.31064e-26,3.35782e-38,5.39507e-28,3.53763e-37,2.9022e-28,1.57862e-35,4.59236e-24,0.0,4.2025e-09,1.01898e-08,8.27462e-38,0.0,4.35773e-18,7.68651e-22,1.86342e-22,6.85111e-31,0.0,1.54479e-29,4.51941e-14,9.31226e-19,5.9577e-26,3.68562e-31,0.0,2.53818e-14,1.08383e-33,8.38209e-23,2.49816e-36,5.57684e-25,5.37231e-09,0.00914878,9.46333e-24,2.25074e-24,0.0,0.0,4.84963e-16,7.60537e-28,1.728e-17,2.19579e-27,2.99193e-12,6.34244e-27,3.54125e-18,2.81804e-27,0.0321039
12,1.37518e-38,2.07822e-26,0.0,5.69915e-13,0.0,0.0,2.25354e-14,1.7367e-11,2.19227e-07,0.0,1.27687e-18,1.90261e-14,0.00094364,2.01043e-08,4.74735e-11,5.29917e-30,1.16848e-25,9.00594e-16,0.0,0.50307,2.88396e-19,0.0,2.12697e-20,0.0,0.0,0.0,6.20138e-11,0.0,2.62823e-28,6.3588e-16,2.82578e-33,6.19908e-20,2.12126e-15,2.06522e-19,2.02433e-35,0.0,1.05016e-13,2.01556e-36,4.28716e-31,0.0,2.86242e-37,9.42129e-06,0.0,3.90723e-23,9.12662e-29,5.53525e-16,5.74414e-14,0.412813,4.32497e-13,5.0458e-35,1.83751e-14,1.4384e-15,6.91178e-12,8.72051e-08,2.00658e-28,3.25991e-08,6.18012e-28,2.63871e-22,5.33106e-16,4.8828e-28,6.64122e-24,0.0,3.28245e-27,0.0,2.45303e-18,8.62559e-30,2.14624e-36,0.0,5.79884e-29,4.35501e-23,6.46343e-28,3.99814e-27,0.0,4.41607e-38,4.8969e-28,0.0,0.0,7.58593e-25,9.45985e-29,0.000312321,4.12443e-19,9.54773e-23,2.72725e-31,8.11316e-17,0.0751103,6.33765e-26,3.91037e-19,1.2891e-26,0.0,0.0,3.89944e-37,0.0,1.6907e-18,3.22689e-16,0.0077403,4.46897e-19,1.26907e-21,0.0,2.90491e-07
13,0.0,0.0,0.0,9.98877e-22,0.0,0.0,1.09289e-17,6.167e-06,0.00379643,0.0,2.17721e-17,0.0930927,0.000221674,5.07985e-05,0.901914,0.0,3.23282e-18,8.46173e-06,0.0,1.74869e-15,3.26382e-24,0.0,7.95198e-32,0.0,0.0,0.0,3.81759e-11,0.0,0.0,0.0,0.0,6.46231e-37,0.0,0.0,0.0,0.0,1.26908e-29,0.0,0.0,0.0,0.0,2.13837e-17,0.0,1.03708e-22,2.67919e-20,7.21533e-32,1.40523e-19,1.06369e-06,5.92131e-08,1.50106e-18,9.05421e-20,1.0279e-18,8.14561e-13,6.37249e-08,1.08562e-30,2.87885e-18,6.71631e-37,1.16397e-13,1.79547e-07,0.0,1.17245e-11,0.0,1.28591e-20,0.0,9.59618e-23,0.0,0.0,0.0,3.88778e-37,3.48629e-28,0.0,8.48443e-34,0.0,0.0,1.63822e-22,3.31115e-38,0.0,1.67398e-23,1.1841e-34,3.39907e-10,3.7455e-21,7.62624e-29,0.0,3.67975e-18,1.65151e-10,2.19774e-38,8.30368e-19,0.0,0.0,1.1162e-31,0.0,1.30226e-26,2.20886e-15,0.00086229,3.64649e-05,9.42092e-06,3.38682e-25,0.0,2.29621e-24
16,1.36842e-27,0.0,4.06446e-24,2.051e-05,4.00535e-32,2.44289e-19,7.06275e-10,0.000357482,4.83482e-09,0.0,0.000724806,3.50058e-33,1.80453e-09,6.55556e-19,0.0,4.46785e-26,1.48519e-14,1.45849e-07,8.67347e-37,9.38075e-32,4.51347e-29,1.2792e-34,1.55036e-08,9.72915e-36,2.18863e-25,0.0,3.63301e-05,1.0497e-19,4.30431e-12,1.34021e-17,6.86656e-18,5.97831e-09,1.49554e-16,3.13186e-22,1.07445e-18,0.0,1.01103e-09,0.0,1.85254e-30,1.33502e-30,2.15544e-30,0.0,2.2123e-20,0.000385244,4.27693e-09,9.02737e-17,0.145477,0.0,0.0,1.94092e-16,0.000971069,0.168042,0.480779,0.133068,1.27158e-09,3.19981e-05,9.91601e-09,1.69807e-07,0.00306408,1.58315e-14,5.31621e-07,5.87162e-34,3.26248e-07,6.46407e-22,2.42745e-05,2.46847e-14,3.06205e-14,9.86838e-22,3.92662e-09,0.000124695,2.28183e-11,4.51366e-09,2.78091e-32,2.51681e-14,1.71967e-11,4.3637e-19,1.28638e-23,1.71934e-06,8.28811e-13,2.107e-05,3.33773e-07,7.31997e-05,2.03973e-14,0.0138199,2.6493e-11,4.5126e-20,0.0147305,5.90321e-12,5.79871e-30,5.85357e-35,2.44612e-15,5.44742e-37,0.036828,5.11976e-10,8.81162e-07,8.92995e-34,0.00141652,3.81046e-25,2.72858e-26
19,2.62042e-15,7.09436e-20,1.5075e-12,0.501021,1.34116e-17,3.72765e-15,1.12686e-15,1.03466e-07,3.50173e-11,0.0,0.00349588,7.51203e-35,1.08377e-08,5.01459e-23,0.0,3.94895e-21,4.9887e-13,1.95793e-17,4.7135e-34,3.24108e-22,7.69796e-17,1.15311e-14,1.92805e-09,3.24003e-12,1.28963e-10,8.65823e-16,0.00122424,1.20472e-20,5.07806e-07,1.1665e-09,7.99564e-09,0.00192284,1.97331e-06,1.53614e-14,6.87739e-09,1.35626e-24,1.55016e-07,6.3054e-15,1.27549e-08,1.21463e-10,7.21289e-16,3.22193e-29,3.5653e-16,7.18038e-06,1.98032e-17,3.8856e-17,0.0882717,4.04448e-34,0.0,3.33409e-21,5.53725e-07,0.285339,3.7222e-05,2.07615e-05,2.12829e-05,7.13427e-05,1.11968e-08,7.99704e-18,2.11273e-11,1.35319e-16,4.37071e-14,1.73409e-25,1.22219e-10,5.22992e-25,0.117463,7.5322e-05,9.68587e-18,4.81825e-20,1.19127e-05,1.74932e-05,4.34047e-07,1.82349e-11,1.65232e-24,1.63646e-13,2.56349e-09,1.73264e-14,1.42138e-14,5.09681e-12,2.00692e-17,1.94207e-05,1.55045e-13,7.65341e-06,5.49715e-16,4.27646e-07,2.9501e-07,8.77879e-07,1.15202e-06,2.21888e-08,1.12727e-27,0.0,1.41716e-08,2.88152e-34,0.00013066,4.47484e-17,1.02291e-06,3.82498e-34,0.000834024,3.47594e-20,1.33121e-12
23,0.0,0.0,0.0041484,2.10077e-22,0.0,0.00107653,6.26102e-21,2.34699e-37,0.0,0.0,1.05896e-28,0.0,0.0,0.0,0.0,1.50239e-07,0.0,1.20315e-36,0.0,0.0,0.0,3.54427e-12,0.000443271,0.0,3.33594e-18,1.10398e-09,2.19049e-37,0.0,0.29796,9.8077e-17,0.0669976,3.65424e-06,2.16995e-20,2.38691e-16,0.0205359,1.01826e-12,2.5213e-09,1.4276e-28,1.92667e-32,6.3783e-10,4.11382e-06,0.0,4.12807e-05,7.0453e-18,1.25699e-26,8.02074e-16,2.9459e-11,0.0,0.0,0.0,1.92684e-09,4.25144e-16,8.83858e-15,2.15212e-22,6.58727e-30,2.64232e-15,0.000127431,4.56509e-26,4.09594e-28,5.69697e-05,1.69364e-38,1.15279e-33,1.91137e-30,5.68641e-13,2.26234e-25,2.34818e-29,8.42689e-14,0.0001662,2.14644e-13,3.61174e-08,0.310813,3.44111e-06,7.36567e-06,3.33519e-15,0.0,0.0,8.28934e-15,5.45098e-15,4.13539e-09,4.06224e-28,1.08905e-12,2.02557e-06,4.17244e-05,3.46844e-11,0.0,0.0,1.74498e-13,0.297571,8.27768e-22,0.0,7.98052e-28,0.0,3.79884e-23,0.0,0.0,0.0,2.71713e-12,0.0,0.0
24,4.1017e-21,6.94984e-15,9.47725e-25,0.000476912,2.38936e-30,2.79117e-26,2.29464e-14,1.5224e-07,1.83278e-06,6.49139e-32,1.9566e-08,6.3289e-20,0.0082998,4.29991e-13,4.48123e-22,5.10155e-24,8.20006e-16,5.07486e-16,0.0,1.17977e-05,1.7828e-11,3.21672e-29,5.00317e-14,3.32289e-22,7.58523e-24,1.90915e-29,0.000313861,2.11122e-31,6.94215e-16,8.3587e-10,1.11926e-18,2.05793e-09,2.75629e-07,3.01757e-14,1.16634e-19,0.0,7.70295e-09,2.48396e-19,5.93775e-14,6.5352e-22,2.30831e-23,8.73833e-09,5.56235e-28,4.68351e-13,7.8527e-23,2.85986e-15,3.15253e-06,6.60962e-11,1.3995e-20,6.13037e-26,7.57424e-10,1.73929e-06,1.80061e-07,3.97392e-05,5.72057e-14,0.000115082,2.78165e-17,4.1861e-20,5.27535e-13,6.70318e-22,7.79832e-18,0.0,2.03833e-17,1.63936e-34,4.1043e-07,1.66008e-13,1.23674e-26,1.25348e-28,3.15517e-15,4.21048e-13,7.40478e-16,1.06081e-18,1.33529e-35,1.89613e-24,1.93269e-15,3.22475e-25,1.93607e-28,5.59185e-18,5.88339e-23,0.0194386,4.26779e-16,3.22683e-13,3.80477e-23,3.01155e-11,0.892771,4.65372e-11,4.94385e-12,5.32251e-16,0.0,0.0,9.01362e-20,1.28332e-33,6.57947e-10,6.97983e-15,0.0773047,1.17097e-21,3.57374e-11,2.18865e-33,0.00122045
28,2.24503e-33,8.50782e-38,0.0,6.3515e-14,0.0,0.0,5.3852e-13,0.00129552,0.268951,0.0,2.1876e-12,0.000130754,0.401106,0.000419227,0.000293355,0.0,1.35253e-15,1.9846e-05,0.0,9.71004e-10,6.42639e-19,0.0,3.7501e-23,0.0,0.0,0.0,1.25893e-06,9.84248e-36,2.68283e-34,9.16595e-28,0.0,6.56736e-26,8.81414e-27,4.55157e-33,0.0,0.0,4.32499e-20,0.0,0.0,0.0,0.0,5.65138e-13,0.0,3.49116e-17,5.79183e-18,3.85283e-23,1.09559e-12,3.4588e-05,5.33503e-10,1.25031e-18,1.84675e-13,2.13312e-12,5.17395e-08,0.000688465,9.80327e-24,5.97949e-11,4.27727e-28,3.90157e-12,6.13184e-06,5.13935e-31,9.16914e-11,0.0,3.67196e-17,0.0,8.29398e-16,9.025e-31,2.06685e-32,0.0,3.41337e-28,8.01279e-21,3.78761e-33,4.11423e-26,0.0,2.58837e-35,1.43132e-18,6.3775e-33,0.0,1.03098e-18,1.12339e-27,9.7312e-05,4.50159e-16,3.12e-21,4.36577e-33,7.21746e-13,9.81396e-05,1.02972e-28,9.3865e-14,2.04148e-32,0.0,1.46727e-34,7.43855e-35,2.03119e-27,4.0919e-11,0.000343631,0.326515,3.18683e-08,2.5306e-18,0.0,5.25358e-16
